GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
1400000US06037701304,"Census Tract 7013.04, Los Angeles County, California",127115,202740,104271
1400000US06037701402,"Census Tract 7014.02, Los Angeles County, California",107429,-,107041
1400000US06037701501,"Census Tract 7015.01, Los Angeles County, California",126875,183291,109832
1400000US06037701502,"Census Tract 7015.02, Los Angeles County, California",93590,101150,84667
1400000US06037701601,"Census Tract 7016.01, Los Angeles County, California",136250,189076,97083
1400000US06037701602,"Census Tract 7016.02, Los Angeles County, California",101648,131190,89250
1400000US06037701701,"Census Tract 7017.01, Los Angeles County, California",67113,111042,52045
1400000US06037701702,"Census Tract 7017.02, Los Angeles County, California",69904,223424,58750
1400000US06037701801,"Census Tract 7018.01, Los Angeles County, California",66464,102963,61337
1400000US06037701802,"Census Tract 7018.02, Los Angeles County, California",75020,163125,65912
1400000US06037701902,"Census Tract 7019.02, Los Angeles County, California",68935,194792,-
1400000US06037702002,"Census Tract 7020.02, Los Angeles County, California",88375,150875,83338
1400000US06037702102,"Census Tract 7021.02, Los Angeles County, California",96724,129929,88016
1400000US06037702201,"Census Tract 7022.01, Los Angeles County, California",97642,133269,71042
1400000US06037702202,"Census Tract 7022.02, Los Angeles County, California",120268,148934,87279
1400000US06037702300,"Census Tract 7023, Los Angeles County, California",101014,189309,57105
1400000US06037702400,"Census Tract 7024, Los Angeles County, California",98656,178750,82574
1400000US06037702501,"Census Tract 7025.01, Los Angeles County, California",126875,120789,130538
1400000US06037702502,"Census Tract 7025.02, Los Angeles County, California",89926,120242,72928
1400000US06037702600,"Census Tract 7026, Los Angeles County, California",110285,123194,71941
1400000US06037702700,"Census Tract 7027, Los Angeles County, California",122188,141111,75811
1400000US06037702801,"Census Tract 7028.01, Los Angeles County, California",84207,118482,61783
1400000US06037702802,"Census Tract 7028.02, Los Angeles County, California",91743,100795,90568
1400000US06037702803,"Census Tract 7028.03, Los Angeles County, California",81184,82155,76579
1400000US06037702900,"Census Tract 7029, Los Angeles County, California",120437,-,120442
1400000US06037703002,"Census Tract 7030.02, Los Angeles County, California",101264,109779,80903
1400000US06037703003,"Census Tract 7030.03, Los Angeles County, California",95613,119696,77246
1400000US06037703100,"Census Tract 7031, Los Angeles County, California",96270,101137,61204
1400000US06037703200,"Census Tract 7032, Los Angeles County, California",95722,110045,47245
1400000US06037800101,"Census Tract 8001.01, Los Angeles County, California",152206,157813,139375
1400000US06037800103,"Census Tract 8001.03, Los Angeles County, California",120114,128200,66641
1400000US06037800104,"Census Tract 8001.04, Los Angeles County, California",149318,149185,-
1400000US06037800202,"Census Tract 8002.02, Los Angeles County, California",195599,216188,-
